"Option Name","score","Size","10","Rent","10","Duration","10","Pet Policy","9","Laundry","8","Description","7","Monthly Fees","5","One Time Fees","5","Contact","0","Distance","0","Address","0","modifier"
"[333 E 49th St Unit 1R](https://www.apartments.com/333-e-49th-st-new-york-ny-unit-1r/hjg88w3/)","100","782 Sq Ft","5","$2,450","5","16 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","MASSIVE 1-BEDROOM APARTMENT IN LUXURY MIDTOWN EAST! OVER 780 SQUARE FEET!
Super-convenient Midtown East location!
Luxury post-war doorman building with a full time concierge, viewing atrium garden, a complementary fitness center, laundry room, Housekeeping service available, high speed internet access, pet- friendly, bike room, common storage space, full service garage and a beautiful rooftop sun deck!!!
*NO BROKER's FEE + 1 MONTH FREE RENT!!!!","5","","5","","5","844-234-9726","5","0.8 mi","5","[333 E 49th St, New York, NY 10017](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/333+E+49th+St,+New+York,+NY+10017/data=!4m2!4m1!3e2)","5","0"
"[223 E 32nd St Unit 2C](https://www.apartments.com/223-e-32nd-st-new-york-ny-unit-2c/p3sk85s/)","100","650 Sq Ft","5","$2,450","5","30 mins","5","Dogs and Cats Allowed","5","","5","Amenities:
Dishwasher, Hardwood, High Ceilings, Renovated, Marble Bath, Granite Kitchen, Light, Walk-In Closet
Description:
MURRAY HILL STEAL! 2BR WING- AMAZING LOCATION !!! half block from new TRADER JOES
Beautiful 2BR in the Murray Hill This is a fantastic location for this apt. 32nd street and third avenue. large apt. CLEAN and DOWNTOWN !!! Definitely will rent fast !! CALL ASAP !!! + I HAVE ACCESS TO EVERY AVAILABLE LISTING INCLUDING EXCLUSIVE LISTINGS AT BOND NEW YORK PROPERTIES + IF THIS APARTMENT IS NOT WHAT YOU ARE LOOKING FOR, I HAVE THE MEANS TO FIND YOU THE RIGHT PLACE + E-MAIL, TEXT, OR CALL AT ANY TIME+ **","5","","5","","5","888-686-1946","5","1.5 mi","5","[223 E 32nd St, New York, NY 10016](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/223+E+32nd+St,+New+York,+NY+10016/data=!4m2!4m1!3e2)","5","0"
"[324 E 61st St](https://www.apartments.com/324-e-61st-st-new-york-ny/fqb3wvr/)","100","600 Sq Ft","5","$2,459","5","8 mins","5","Dogs and Cats Allowed","5","","5","~Beautiful & Renovated 1BR~on the UES, SS kitchen, dishwasher, white tile bath, beautiful floors throughout, walk-in closets. 
*Near park, easy access to public transportation. 
*Call or text me today to schedule a private viewing: Olga 631-605-1477 okrey@bondnewyork.com
If this apartment doesn’t fit your need I certainly have the one that will.","5","","5","","5","","5","0.4 mi","5","[324 E 61st St, New York, NY 10065](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/324+E+61st+St,+New+York,+NY+10065/data=!4m2!4m1!3e2)","5","0"
"[336 E 61st St Unit 5B](https://www.apartments.com/336-e-61st-st-new-york-ny-unit-5b/s9v3zr6/)","100","650 Sq Ft","5","$2,475","5","9 mins","5","Dogs and Cats Allowed","5","* Washer/Dryer","5","NO FEE !!!! Beautiful 1 Bedroom apartment in charming walk up building between 1st and 2nd Ave in the heart of Midtown East. The building has a laundry room and a live in super. This building is close to the 4, 5, and 6 Subway station.
This apartment features: bleached plank hard wood floors, recessed lighting, granite countertops, stainless steel appliances, cherry wood cabinetry, crown and baseboard molding, marble bathrooms exposed brick walls. Pet policy: Pets OK","5","","5","","5","844-814-0605","5","0.4 mi","5","[336 E 61st St, New York, NY 10065](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/336+E+61st+St,+New+York,+NY+10065/data=!4m2!4m1!3e2)","5","0"
"[876 Lexington Ave Unit 1B](https://www.apartments.com/876-lexington-ave-new-york-ny-unit-1b/er71e9p/)","100","600 Sq Ft","5","$2,495","5","7 mins","5","Dogs and Cats Allowed","5","","5","Beautiful Gut renovated one bedroom apartment in the UES! 
Featuring Gourmet kitchen equipped with dishwasher and microwave. Bright, quiet, hardwood floors and high ceilings. Great location conveniently located near Central Park, Hunter College and the 6 train. AVAILABLE IMMEDIATELY!!","5","","5","","5","","5","0.3 mi","5","[876 Lexington Ave, New York, NY 10065](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/876+Lexington+Ave,+New+York,+NY+10065/data=!4m2!4m1!3e2)","5","0"
"[326 E 61st St Unit 5-RE](https://www.apartments.com/326-e-61st-st-new-york-ny-unit-5-re/gjtvbxw/)","100","600 Sq Ft","5","$2,500","5","8 mins","5","Dogs and Cats Allowed","5","* Washer/Dryer","5","","5","","5","","5","","5","0.4 mi","5","[326 E 61st St, New York, NY 10065](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/326+E+61st+St,+New+York,+NY+10065/data=!4m2!4m1!3e2)","5","0"
"[231 E 53rd St](https://www.apartments.com/231-e-53rd-st-new-york-ny/xh87klq/)","100","700 Sq Ft","5","$2,500","5","9 mins","5","Dogs and Cats Allowed","5","","5","URGENT!!!!
NO FEE!!!!!
******* HURRY UP *******
****** SUTTON PLACE ******
The biggest One Bedroom on Sutton Place.
*** King Size Bedroom ****
*** Separate Kitchen and Living Room ***
*** Fully Renovated ***
*** Live in Super ***
*** Steps from 53rd Subway Station ***
Don't LOSE the deal, Contact:
Tonny
929.328.8918","5","","5","","5","866-984-9603","5","0.5 mi","5","[231 E 53rd St, New York, NY 10022](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/231+E+53rd+St,+New+York,+NY+10022/data=!4m2!4m1!3e2)","5","0"
"[322 W 49th St Unit 3re](https://www.apartments.com/322-w-49th-st-new-york-ny-unit-3re/5vgz9pp/)","100","650 Sq Ft","5","$2,500","5","29 mins","5","Dogs and Cats Allowed","5","","5","amazing price. large 1 bedroom renovated apartment. prime locatoin. a step t a park. subways, restaurants and bars, shopping and grocery.","5","","5","","5","516-345-4015","5","1.4 mi","5","[322 W 49th St, New York, NY 10019](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/322+W+49th+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)","5","0"
"[342 E 55th St](https://www.apartments.com/342-e-55th-st-new-york-ny/hlz40w1/)","100","600 Sq Ft","5","$2,500","5","11 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","This is a NO FEE APARTMENT
We Are Now Offering a 1 Month OP AND 1 Month Free on a 12 Month Lease
(All OP's Are Paid at Lease Signing AND the 2nd Month is Free)
This is a Convertible 1 Bedroom in an Elevator Building with a Laundry Room in the Building!
This is a renovated apartment featuring:
Ebony Hardwood floors, Air Conditioning and a Sun-filled Living Space.
Gerard
Call or Text 9176231646 For Viewing!","5","","5","","5","844-210-5616","5","0.5 mi","5","[342 E 55th St, New York, NY 10022](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/342+E+55th+St,+New+York,+NY+10022/data=!4m2!4m1!3e2)","5","0"
"[241 E 38th St Unit 5B](https://www.apartments.com/241-e-38th-st-new-york-ny-unit-5b/k9ljfnc/)","100","600 Sq Ft","5","$2,525","5","25 mins","5","Dogs and Cats Allowed","5","","5","-White appliances , White kitchen cabinets , Dishwasher
-Ceramic bathroom
-Large windows
-Hardwood floors
-Short walk to Grand Central Subway lines & Lexington Avenue
*No broker fee* Contact Yazmin (347)863-9424","5","","5","","5","929-358-7687","5","1.2 mi","5","[241 E 38th St, New York, NY 10016](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/241+E+38th+St,+New+York,+NY+10016/data=!4m2!4m1!3e2)","5","0"
"[66 W 69th St Unit 4F](https://www.apartments.com/66-w-69th-st-new-york-ny-unit-4f/pjclkjv/)","100","750 Sq Ft","5","$2,550","5","27 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","","5","","5","","5","","5","1.3 mi","5","[66 W 69th St, New York, NY 10023](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/66+W+69th+St,+New+York,+NY+10023/data=!4m2!4m1!3e2)","5","0"
"[71 W 71st St](https://www.apartments.com/71-w-71st-st-new-york-ny/qt801zx/)","100","600 Sq Ft","5","$2,550","5","29 mins","5","Dogs and Cats Allowed","5","","5","~Beautiful & renovated 1BR~ on the UWS, high ceilings, exposed brick, wooden trim, S/S appliances, and even a chandelier!, walk-in closets, wooden floors throughout. 
*Near park, easy access to public transportation. 
*Call or text me today to schedule a private viewing: Olga 631-605-1477 okrey@bondnewyork.com
If this apartment doesn’t fit your need I certainly have the one that will.","5","","5","","5","","5","1.4 mi","5","[71 W 71st St, New York, NY 10023](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/71+W+71st+St,+New+York,+NY+10023/data=!4m2!4m1!3e2)","5","0"
"[245 W 51st St](https://www.apartments.com/245-w-51st-st-new-york-ny/j36nwl7/)","100","600 Sq Ft","5","$2,550","5","25 mins","5","Dogs and Cats Allowed","5","","5","~Big, bright & renovated 1BR~ in the Midtown West, nice kitchen, white tile bath, beautiful floors throughout, lots of light, walk-in closets. **Gas & electric included** Doorman, elevator, laundry. 
*Near park, easy access to public transportation. 
*Call or text me today to schedule a private viewing: Olga 631-605-1477 okrey@bondnewyork.com
If this apartment doesn’t fit your need I certainly have the one that will.","5","","5","","5","","5","1.2 mi","5","[245 W 51st St, New York, NY 10019](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/245+W+51st+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)","5","0"
"[241 E 38th St Unit 4B](https://www.apartments.com/241-e-38th-st-new-york-ny-unit-4b/nvrdm1m/)","100","600 Sq Ft","5","$2,550","5","25 mins","5","Dogs and Cats Allowed","5","","5","-1 Bedroom apartment in Murray Hill
-White appliances
-White kitchen cabinets 
-Subway tiled bathroom
-Short walk to Grand Central , Lots of public transportation nearby.
-Short walk to Lexington Avenue
** No broker fee** Contact Yazmin (347)863-9424","5","","5","","5","929-358-7719","5","1.2 mi","5","[241 E 38th St, New York, NY 10016](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/241+E+38th+St,+New+York,+NY+10016/data=!4m2!4m1!3e2)","5","0"
"[64 W 69th St Unit 3A](https://www.apartments.com/64-w-69th-st-new-york-ny-unit-3a/nqhbd6q/)","100","750 Sq Ft","5","$2,595","5","27 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","","5","","5","","5","","5","1.3 mi","5","[64 W 69th St, New York, NY 10023](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/64+W+69th+St,+New+York,+NY+10023/data=!4m2!4m1!3e2)","5","0"
"[232 E 58th St Unit 15](https://www.apartments.com/232-e-58th-st-new-york-ny-unit-15/8l7fel0/)","100","625 Sq Ft","5","$2,595","5","4 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","Large, bright renovated one bedroom apartment in Midtown East. Features include microwave, dishwasher, ait conditioning, high ceilings, hardwood floors, large closets, and tile bath. Located close to some of the best restaurants, bars, cafes, music venues, coffee shops, art galleries, boutiques, and thrift shops in New York City!!!","5","","5","","5","","5","0.2 mi","5","[232 E 58th St, New York, NY 10022](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/232+E+58th+St,+New+York,+NY+10022/data=!4m2!4m1!3e2)","5","0"
"[358 W 51st St Unit BH](https://www.apartments.com/358-w-51st-st-new-york-ny-unit-bh/v3zke8d/)","100","700 Sq Ft","5","$2,595","5","28 mins","5","Dogs and Cats Allowed","5","* Washer/Dryer","5","Renovated 1 bedroom with open kitchen with stainless steel appliances including a dishwasher and wine cooler. Laundry facilities in the building.
Available for June 1st occupancy!!
Located in great Midtown West location close to great shopping, theater and the center of the city! Conveniently near public transportation, the apartment is just steps from the M50 crosstown bus, and uptown / downtown busses. Short walk to the C & E train.
Call or email me today to schedule a viewing.
elias.","5","","5","","5","844-553-5104","5","1.4 mi","5","[358 W 51st St, New York, NY 10019](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/358+W+51st+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)","5","0"
"[402 W 51st St Unit 4E](https://www.apartments.com/402-w-51st-st-new-york-ny-unit-4e/w5jv8sl/)","100","720 Sq Ft","5","$2,600","5","30 mins","5","Dogs and Cats Allowed","5","","5","This NO FEE King-Sized One Bedroom offers a HUGE Living Room, lots of closet space, a Full Bathroom, and an Eat-In Kitchen.
Located just 1 block from the 50th St C train, surrounded by great restaurants, bars and shops.
A GREAT DEAL for this much SPACE! Over 700 square feet!
NO BROKER FEE!!!
Contact me TODAY to see it!
Pets considered on a case by case basis with an additional security fee.","5","","5","","5","","5","1.4 mi","5","[402 W 51st St, New York, NY 10019](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/402+W+51st+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)","5","0"
"[342 E 61st St Unit 1B](https://www.apartments.com/342-e-61st-st-new-york-ny-unit-1b/cvedr4e/)","100","600 Sq Ft","5","$2,600","5","9 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","Newly renovated 1 Bedroom 1 Bathroom apartment features: Wide-plank hardwood floors, recessed lighting, granite counter-tops, stainless steel appliances, cherry wood cabinets, crown and baseboard moldings, with marble bathrooms. Located close to some of the best restaurants, bars, cafes, music venues, coffee shops, art galleries, boutiques and thrift shops in New York City!!!","5","","5","","5","","5","0.4 mi","5","[342 E 61st St, New York, NY 10065](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/342+E+61st+St,+New+York,+NY+10065/data=!4m2!4m1!3e2)","5","0"
"[1173 York Ave Unit 11-A](https://www.apartments.com/1173-york-ave-new-york-ny-unit-11-a/2h3zldb/)","100","600 Sq Ft","5","$2,600","5","14 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","This sunny, garden facing one bedroom offers an updated kitchen with new appliances and granite counter-tops, ample storage with large closets, marble bathroom, contemporary fixtures and newly finished floors. The 24-hour doorman building boasts a playroom, roof-top sundeck, and fully equipped laundry room. Located close to some of the best restaurants, bars, cafes, music venues, coffee shops, art galleries, boutiques, and thrift shops in New York City!!!","5","","5","","5","","5","0.7 mi","5","[1173 York Ave, New York, NY 10065](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/1173+York+Ave,+New+York,+NY+10065/data=!4m2!4m1!3e2)","5","0"
"[402 W 51st St Unit 4](https://www.apartments.com/402-w-51st-st-new-york-ny-unit-4/e648cfq/)","100","700 Sq Ft","5","$2,600","5","30 mins","5","Dogs and Cats Allowed","5","","5","Enormous one bedroom apartment in in the heart of the Theater District/ Midtown West!Enormous living room w/ multiple windows & great sunlight , Brand new marble bathroom . New hardwood floors ! 3 HUGE closet space for hanging and storage . * Now offering 1 month no broker fee , Amazing apartment AMAZING area. This deal wont last long , Contact Yazmin (347)863-9424","5","","5","","5","844-320-1809","5","1.4 mi","5","[402 W 51st St, New York, NY 10019](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/402+W+51st+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)","5","0"
"[49 W 70th St Unit D](https://www.apartments.com/49-w-70th-st-new-york-ny-unit-d/fl0chct/)","100","725 Sq Ft","5","$2,650","5","28 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","","5","","5","","5","","5","1.4 mi","5","[49 W 70th St, New York, NY 10023](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/49+W+70th+St,+New+York,+NY+10023/data=!4m2!4m1!3e2)","5","0"
"[332 E 71st St](https://www.apartments.com/332-e-71st-st-new-york-ny/n4wprvp/)","100","650 Sq Ft","5","$2,650","5","18 mins","5","Dogs and Cats Allowed","5","","5","NO FEE! Beautiful Gut Renovated Large 1 Bedroom. Featuring: Wide-plank hardwood floors, recessed lighting, granite counter-tops, stainless steel appliances, cherry wood cabinets, crown and baseboard moldings, and a marble bathroom. AVAILABLE IMMEDIATELY!","5","","5","","5","","5","0.9 mi","5","[332 E 71st St, New York, NY 10021](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/332+E+71st+St,+New+York,+NY+10021/data=!4m2!4m1!3e2)","5","0"
"[243 E 38th St Unit 4b](https://www.apartments.com/243-e-38th-st-new-york-ny-unit-4b/ejkgvpn/)","100","600 Sq Ft","5","$2,675","5","25 mins","5","Dogs and Cats Allowed","5","","5","Amazing deal in Murray Hill for a large no fee one bedroom. This apartment is super affordable and under market. Large living room and bedroom that easily fits a queen sized bed. Trains and bars are just blocks away. This wont last long. Contact me for a viewing.","5","","5","","5","","5","1.2 mi","5","[243 E 38th St, New York, NY 10016](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/243+E+38th+St,+New+York,+NY+10016/data=!4m2!4m1!3e2)","5","0"
"[404 E 56th St](https://www.apartments.com/404-e-56th-st-new-york-ny/tretscc/)","100","700 Sq Ft","5","$2,695","5","11 mins","5","Dogs Allowed","5","","5","True 2 bedroom apt, each br features a separate sleep or storage loft, and can fit a queen bed, dresser, and nightstand.
Separate kitchen featuring a dishwasher and space for a table for three. 
Living room has 11 ft ceilings, hard wood floors, & three windows
Recently updated bathroom vanity
Apt is on ground floor with a courtyard view
Super lives in the building. 
Pet friendly
Prime Location just steps to Columbus Circle, Whole Foods, Subway Hub for 1,A,B,C, & D trains...and just a stone throw away to fabulous bars and restaurants on 9th ave. Contact me to schedule to view 646 409 6447.","5","","5","","5","844-665-5620","5","0.6 mi","5","[404 E 56th St, New York, NY 10022](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/404+E+56th+St,+New+York,+NY+10022/data=!4m2!4m1!3e2)","5","0"
"[140 W 55th St Unit 9B](https://www.apartments.com/140-w-55th-st-new-york-ny-unit-9b/r6zw2p3/)","100","780 Sq Ft","5","$2,699","5","17 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","West 55th between 6th & 7th Ave in Elevator Building with live in super and pet friendly. Brand New One Bedroom currently being GUT RENOVATED so everything will be BRAND NEW! Gorgeous Kitchen with new stainless steel appliances, cabinets and granite counters. Elegant white marble bathroom with all new fixtures. New hardwood floors, doors, hardware, lighting and material all throughout! This space is of great value for price in beautiful location just steps from Central Park South and Columbus Circle! Call, text or email to view and for more details!","5","","5","","5","929-368-3879","5","0.8 mi","5","[140 W 55th St, New York, NY 10019](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/140+W+55th+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)","5","0"
"[32 W 71st St Unit 1A](https://www.apartments.com/32-w-71st-st-new-york-ny-unit-1a/wsbs2pl/)","100","750 Sq Ft","5","$2,750","5","28 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","","5","","5","","5","","5","1.4 mi","5","[32 W 71st St, New York, NY 10023](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/32+W+71st+St,+New+York,+NY+10023/data=!4m2!4m1!3e2)","5","0"
"[68 W 69th St Unit 2C](https://www.apartments.com/68-w-69th-st-new-york-ny-unit-2c/wv2s06k/)","100","725 Sq Ft","5","$2,750","5","27 mins","5","Dogs and Cats Allowed","5","* Laundry Facilities","5","","5","","5","","5","","5","1.3 mi","5","[68 W 69th St, New York, NY 10023](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/68+W+69th+St,+New+York,+NY+10023/data=!4m2!4m1!3e2)","5","0"
"[402 W 51st St Unit 4E](https://www.apartments.com/402-w-51st-st-new-york-ny-unit-4e/x006bsn/)","100","700 Sq Ft","5","$2,750","5","30 mins","5","Dogs and Cats Allowed","5","","5","large one bedroom in the heart of Midtown. Excellent maintained walk-up building with live-in super, newly renovated apartment offering lots of space and natural light. Amazing price for size and location. Schedule a viewing today!","5","","5","","5","","5","1.4 mi","5","[402 W 51st St, New York, NY 10019](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/402+W+51st+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)","5","0"
