Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[987 1st Avenue](https://www.apartments.com/987-1st-avenue-new-york-ny/wf47hvk/),484-318-2792,"[987 1st Avenue, New York, NY 10022](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/987+1st+Avenue,+New+York,+NY+10022/data=!4m2!4m1!3e2)",600 Sq Ft,"$2,150",,,Dogs and Cats Allowed,0.6 mi,12 mins,,,,,,,12 Months,,,,,![Primary Photo - 987 1st Avenue](https://images1.apartments.com/i2/ktqkwdzdLm5aKUjNZzMmq1bt9TCLYOt8ZlrIHeDLYhM/110/987-1st-avenue-new-york-ny-primary-photo.jpg) ![Building Photo - 987 1st Avenue](https://images1.apartments.com/i2/xYEr9g3iGHWNevRuP8nbQ-uVmekKaCoXBwRll7cwqdI/118/987-1st-avenue-new-york-ny-building-photo.jpg) ![Building Photo - 987 1st Avenue](https://images1.apartments.com/i2/SHlkK71d2u5sDcmRDOAHlCoeNtf7jJbgL2GCbIpjNvI/118/987-1st-avenue-new-york-ny-building-photo.jpg) ![Building Photo - 987 1st Avenue](https://images1.apartments.com/i2/XBxsatGCm7AkuGebTN8O9-U5SCPmaVGBO58Ohl4R8nQ/118/987-1st-avenue-new-york-ny-building-photo.jpg) ![Building Photo - 987 1st Avenue](https://images1.apartments.com/i2/u-vhnltOZE4_dzUXnlR89bzaGQTuiU-LpOqtMQ21UY0/118/987-1st-avenue-new-york-ny-building-photo.jpg) ,"Midtown East~Do Not Miss~One Bedroom~Private Terrace!
**Call/Text GIANNA 610-316-9040 to see this apartment
**Amazing Location,~Midtown East E 54th/1st Ave.
**PRIVATE TERRACE!
**Queen Size Bedroom
Call/Text GIANNA 610-316-9040 to see this apartment!
*If this is not what your looking for, I can help! I have access to thousands of listings all over the city with means to find you what your looking for."
[309 E 37th St Unit 1c](https://www.apartments.com/309-e-37th-st-new-york-ny/l4bhdpf/),845-208-2539,"[309 E 37th St, New York, NY 10016](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/309+E+37th+St,+New+York,+NY+10016/data=!4m2!4m1!3e2)",700 Sq Ft,"$2,150",,,Dogs and Cats Allowed,1.4 mi,27 mins,,,,,,,12 Months,,,,,![Primary Photo - 309 E 37th St](https://images1.apartments.com/i2/_Xw_IYh3mei0Mp1ol-inDc90eGVGbpN-rT3imw2Twy0/110/309-e-37th-st-new-york-ny-primary-photo.jpg) ![Building Photo - 309 E 37th St](https://images1.apartments.com/i2/hp7vKL-MU4LXhql6fYFYhPnEL2GIn_WhvWxVbqJ83a0/118/309-e-37th-st-new-york-ny-building-photo.jpg) ![Building Photo - 309 E 37th St](https://images1.apartments.com/i2/XjiJpMZ9CXYejhI--FFtWU_2n30YctInx9neugn_kTM/118/309-e-37th-st-new-york-ny-building-photo.jpg) ![Building Photo - 309 E 37th St](https://images1.apartments.com/i2/3GSFUcI4qsbq5kUjpSmCZeiwmf3FJdINdI8gQ-C4hVQ/118/309-e-37th-st-new-york-ny-building-photo.jpg) ,"Affordable Studio New to the Market
You'll enjoy the apartment's large windows, hardwood floors throughout. High ceilings contribute to the apartment's likable feel.
The apt includes plenty of closet space, full kitchen with updated stainless steel appliances
Awesome location ** Private outdoor space
** Cooking Gas Included in the rent
Call, Text or Email Jonathan at your earliest convenience to book a viewing !"
[309 W 54th St Unit 3A](https://www.apartments.com/309-w-54th-st-new-york-ny/hjprx61/),844-758-4841,"[309 W 54th St, New York, NY 10019](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/309+W+54th+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)",650 Sq Ft,"$2,200",,,Dogs and Cats Allowed,1.1 mi,23 mins,,,,,,,12 Months,,,,,![Primary Photo - 309 W 54th St](https://images1.apartments.com/i2/GreM2HGowW2akd5h06jYc7QGhRrzjfZPeqLiYOhDTXs/110/309-w-54th-st-new-york-ny-primary-photo.jpg) ![Building Photo - 309 W 54th St](https://images1.apartments.com/i2/GkM2ukfYd_IkL7ovrxvhU7Zpk8GEGdoM7CD0-ZOzVD4/118/309-w-54th-st-new-york-ny-building-photo.jpg) ![Building Photo - 309 W 54th St](https://images1.apartments.com/i2/GYBmKnpfdhxfmOj_HT6gzu2INxLMjq5dfkPzPQm2gEM/118/309-w-54th-st-new-york-ny-building-photo.jpg) ![Building Photo - 309 W 54th St](https://images1.apartments.com/i2/8_rUNlWIoU_pThIFP6LSmNQBytlYhNOtGN32WhblUhk/118/309-w-54th-st-new-york-ny-building-photo.jpg) ,"Beautiful one bedroom apartment located in Prime Midtown West.
Real good deal wont last long!!
Hurry up and call today.
This apartment is newly Renovated and features QUEEN-SIZED Bedroom, Spacious Living Area, Full SS kitchen with, high ceilings, hardwood floors.
The bedroom have decorative fireplace and a good Closet space.
Prime Location just steps to Columbus Circle, Whole Foods, Subway Hub for 1,A,B,C, D or E lines on W 53/7th...and just a stone throw away to great bars and restaurants on 9th ave.
This walk up building has a super onsite, is pet friendly and has cleaners & wash n fold right downstairs.
Call or email me today to schedule a viewing
Elias."
[322 E 61st St Unit 2RW](https://www.apartments.com/322-e-61st-st-new-york-ny/24kfd3c/),,"[322 E 61st St, New York, NY 10065](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/322+E+61st+St,+New+York,+NY+10065/data=!4m2!4m1!3e2)",600 Sq Ft,"$2,250",,,Dogs and Cats Allowed,0.4 mi,8 mins,,,,,,,12 Months,* Laundry Facilities,,,,![Primary Photo - 322 E 61st St](https://images1.apartments.com/i2/CRj6Lzp6glDk65vOpo6T224zYPzfyRDBYEY4pW9F1tI/110/322-e-61st-st-new-york-ny-primary-photo.jpg) ![Building Photo - 322 E 61st St](https://images1.apartments.com/i2/h5F8E1-wp-EZDxN-y4ePFYCMEOC8mNzNAPBgYG7iJV4/118/322-e-61st-st-new-york-ny-building-photo.jpg) ,"Renovated 1 bedroom on the Upper East Side. High ceilings, hardwood floors, exposed brick, modern appliances, dishwasher, large closets, and marble tile bathroom. Near the 4 5 6 subway station and many bus stops. Located close to some of the best restaurants, bars, cafes, music venues, coffee shops, art galleries, boutiques and thrift shops in NYC."
[226 E 70th St Unit 09](https://www.apartments.com/226-e-70th-st-new-york-ny/kjp0q68/),,"[226 E 70th St, New York, NY 10021](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/226+E+70th+St,+New+York,+NY+10021/data=!4m2!4m1!3e2)",620 Sq Ft,"$2,285",,,Dogs and Cats Allowed,0.7 mi,15 mins,,,,,,,12 Months,,,,,![Primary Photo - 226 E 70th St](https://images1.apartments.com/i2/a4pNqwkssCuVxhdz3I4X6Nm12JrhbvbNquI-MI1teAg/110/226-e-70th-st-new-york-ny-primary-photo.jpg) ![Building Photo - 226 E 70th St](https://images1.apartments.com/i2/5TPhkAPP66h1HieF-mDpz54kO-29ewNMhzVCbvcrqHo/118/226-e-70th-st-new-york-ny-building-photo.jpg) ![Building Photo - 226 E 70th St](https://images1.apartments.com/i2/5PnSQsZb8L7IMScieVPvt16dclI08HdEKXYZFbJW_vY/118/226-e-70th-st-new-york-ny-building-photo.jpg) ![Building Photo - 226 E 70th St](https://images1.apartments.com/i2/_K5raWQonOeNrJWiORx-TXs7Leix4fqBfCGvTxx9420/118/226-e-70th-st-new-york-ny-building-photo.jpg) ![Building Photo - 226 E 70th St](https://images1.apartments.com/i2/84_tr7mECVRpQFmdm5FW19CS88EWlMiHbWEcy7BxTK8/118/226-e-70th-st-new-york-ny-building-photo.jpg) ,"Graceful affordable 1 Bedroom in Lenox Hill 
Very Spacious this unit sports high ceilings, charming wood flooring, lovely kitchen and has a great light source 
Easy access 6,Q,F lines
Schedule a viewing today"
[311 E 61st St Unit 14](https://www.apartments.com/311-e-61st-st-new-york-ny/9139fk6/),844-312-4376,"[311 E 61st St, New York, NY 10065](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/311+E+61st+St,+New+York,+NY+10065/data=!4m2!4m1!3e2)",600 Sq Ft,"$2,295",,,Dogs and Cats Allowed,0.4 mi,7 mins,,,,,,,12 Months,,,,,![Primary Photo - 311 E 61st St](https://images1.apartments.com/i2/6pUOEsZMJjFMxtVdmlMfFo6yePPxf60n2zy5YBeKT5o/110/311-e-61st-st-new-york-ny-primary-photo.jpg) ![Building Photo - 311 E 61st St](https://images1.apartments.com/i2/Wnx1onJkpQ8fPV_w0WvbfNz0hKeE1Mw6h59ncBgtq-o/118/311-e-61st-st-new-york-ny-building-photo.jpg) ![Building Photo - 311 E 61st St](https://images1.apartments.com/i2/H8aQgFn6M-hv5xGS1CBy_JpnOJIO7wBVftzeKWfs024/118/311-e-61st-st-new-york-ny-building-photo.jpg) ,"Amazing one bedroom fully renovated in Lenox Hill . Lots of lights , Beautiful hardwood floors. Stainless steel appliances , Marble bathroom . Fast access to N, R W, 4, 5, 6 trains at 3rd Ave and 59. Great neighborhood with a tons of bars and restaurants. Bed bath and beyond, Dangerfield's, The Home Depot, Serendipity, Sports Club La, Food Emporium, Movie Theaters, and Diners are ALL WITHIN 2 BLOCKS OF THIS APARTMENT!!! Now offering one month free rent. Contact Yazmin (347)863-9424"
[311 E 61st St Unit #13](https://www.apartments.com/311-e-61st-st-new-york-ny/cbmshyf/),844-251-0332,"[311 E 61st St, New York, NY 10065](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/311+E+61st+St,+New+York,+NY+10065/data=!4m2!4m1!3e2)",600 Sq Ft,"$2,295",,,Dogs and Cats Allowed,0.4 mi,7 mins,,,,,,,12 Months,,,,,![Primary Photo - 311 E 61st St](https://images1.apartments.com/i2/PKVGzMrY_tWUG_R-avAtSU-Pyin5FwscZ0LSFvC2MaE/110/311-e-61st-st-new-york-ny-primary-photo.jpg) ![Building Photo - 311 E 61st St](https://images1.apartments.com/i2/GS8ontPZ7yDRHnHf4b2d3cRZQgTUqAKl5PLZOInsX1c/118/311-e-61st-st-new-york-ny-building-photo.jpg) ![Building Photo - 311 E 61st St](https://images1.apartments.com/i2/aJ3BDsGXeYpcVbJ4_jQjcXhyF7QeSMf4RrvXzGVHgLM/118/311-e-61st-st-new-york-ny-building-photo.jpg) ![Building Photo - 311 E 61st St](https://images1.apartments.com/i2/7yktfLkgJLkHXWjcb2ixcJ4Tq3n351V6RqQJrleoXs8/118/311-e-61st-st-new-york-ny-building-photo.jpg) ,"IMMEDIATE MOVE-IN - Amazing Value. No Fee.
This beautiful one bedroom apartment is fully renovate and is now available to view. Located on the east side, the apartment is filled with sun.
-Spacious one bedroom!
-Stainless steal kitchen
-Marble bathroom
-Beautiful hardwood floors 
-Pets allowed 
This apartment is Located on E 61st and 2nd Avenue. It has fast access to N, R W, 4, 5, 6 trains at 3rd Ave and 59. Great neighborhood with a tons of bars and restaurants. Bed bath and beyond, Dangerfield's, The Home Depot, Serendipity, Sports Club La, Food Emporium, Movie Theaters, and Diners are ALL WITHIN 2 BLOCKS OF THIS APARTMENT.
Call or text Senad at: 646-331-6174 for more info."
[237 E 53rd St Unit 4B](https://www.apartments.com/237-e-53rd-st-new-york-ny/5kzzjjq/),844-732-3173,"[237 E 53rd St, New York, NY 10022](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/237+E+53rd+St,+New+York,+NY+10022/data=!4m2!4m1!3e2)",700 Sq Ft,"$2,295",,,Dogs and Cats Allowed,0.5 mi,9 mins,,,,,,,12 Months,,,,,![Primary Photo - 237 E 53rd St](https://images1.apartments.com/i2/vdQpPDtmzwK8EYC07PhmXxBmHL1GokB8KeBhsRjoFu4/110/237-e-53rd-st-new-york-ny-primary-photo.jpg) ![Building Photo - 237 E 53rd St](https://images1.apartments.com/i2/iUFi0vMV8mT0hMRrwXW7-Pmgli9kqEjfjhuw6H37Qgg/118/237-e-53rd-st-new-york-ny-building-photo.jpg) ![Building Photo - 237 E 53rd St](https://images1.apartments.com/i2/_BakW-jBJN7IFbO2dMhR6M6xstaqS4jc3Y9hJnCE2CA/118/237-e-53rd-st-new-york-ny-building-photo.jpg) ![Building Photo - 237 E 53rd St](https://images1.apartments.com/i2/Wa98cncM22CAsq_moS987LXMuDWQ9Yxg92r3GPgiDvc/118/237-e-53rd-st-new-york-ny-building-photo.jpg) ![Building Photo - 237 E 53rd St](https://images1.apartments.com/i2/IFXzvv0QvdHbBe63ZXA86DBBgnPv_VHt7MP0rHvWGK0/118/237-e-53rd-st-new-york-ny-building-photo.jpg) ![Building Photo - 237 E 53rd St](https://images1.apartments.com/i2/ZOSDJbG9v3A5i6bUpq2GTtDBVcxZU3DettmHa9M6VG8/118/237-e-53rd-st-new-york-ny-building-photo.jpg) ,"URGENT!!!!
******* HURRY UP *******
****** SUTTON PLACE ******
The biggest One Bedroom on Sutton Place.
*** King Size Bedroom ****
*** Separate Kitchen and Living Room ***
*** Fully Renovated ***
*** Live in Super ***
*** Steps from 53rd Subway Station ***
Don't LOSE the chance, Contact:
Tonny"
[309 E 69th St](https://www.apartments.com/309-e-69th-st-new-york-ny/enllzgp/),844-899-5883,"[309 E 69th St, New York, NY 10021](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/309+E+69th+St,+New+York,+NY+10021/data=!4m2!4m1!3e2)",650 Sq Ft,"$2,300",,,Dogs and Cats Allowed,0.7 mi,15 mins,,,,,,,12 Months,,,,,![Primary Photo - 309 E 69th St](https://images1.apartments.com/i2/l8hLQ2w74vEwWj3cKV-oPC9eRhK_za9Es59jgNAosms/110/309-e-69th-st-new-york-ny-primary-photo.jpg) ,Amazing building Huge 1br Newly renovated apartment bright * good closets
[309 E 37th St](https://www.apartments.com/309-e-37th-st-new-york-ny/8q7mrc2/),,"[309 E 37th St, New York, NY 10016](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/309+E+37th+St,+New+York,+NY+10016/data=!4m2!4m1!3e2)",600 Sq Ft,"$2,300",,,Dogs and Cats Allowed,1.4 mi,27 mins,,,,,,,12 Months,,,,,![Primary Photo - 309 E 37th St](https://images1.apartments.com/i2/dVhCC6HI4NlrLjioxgLXLSYkzgqlF5hDCoU_bRQpzCI/110/309-e-37th-st-new-york-ny-primary-photo.jpg) ![Building Photo - 309 E 37th St](https://images1.apartments.com/i2/c0svRM-qPYsnf1JZR2vrhvEDpdrfGbCG0uwUohXi7DE/118/309-e-37th-st-new-york-ny-building-photo.jpg) ![Building Photo - 309 E 37th St](https://images1.apartments.com/i2/uhhoFsx2KhIODbgYeJ94nw5cQVgELrdwqXizT7qzGn4/118/309-e-37th-st-new-york-ny-building-photo.jpg) ![Building Photo - 309 E 37th St](https://images1.apartments.com/i2/jjimsSXcT2wx1kAT6gCjyHsBsiAekql43etTGhVRcvU/118/309-e-37th-st-new-york-ny-building-photo.jpg) ![Building Photo - 309 E 37th St](https://images1.apartments.com/i2/9CE4zgaH3FLLrhAxFulYscbZQs7oJYB4v_3mM7F7KSk/118/309-e-37th-st-new-york-ny-building-photo.jpg) ,"~Big, bright & renovated 1BR~in Murray Hill, nice kitchen, granite counter tops, marble bath, beautiful floors throughout, lots of light, walk-in closets. 
*Near park, easy access to public transportation. 
*Email or text me today to schedule a private viewing. Olga: 631-605-1477 okrey@bondnewyork.com
*If this apartment doesn't fit your need I certainly have the one that will."
[149 E 72nd St](https://www.apartments.com/149-e-72nd-st-new-york-ny/whwq0bh/),484-318-2790,"[149 E 72nd St, New York, NY 10021](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/149+E+72nd+St,+New+York,+NY+10021/data=!4m2!4m1!3e2)",600 Sq Ft,"$2,350",,,Dogs and Cats Allowed,0.7 mi,14 mins,,,,,,,12 Months,* Laundry Facilities,,,,![Primary Photo - 149 E 72nd St](https://images1.apartments.com/i2/05d3pbfYok9y0fRtbkpNOl1dFZSOrODOK4Jniesud3s/110/149-e-72nd-st-new-york-ny-primary-photo.jpg) ![Building Photo - 149 E 72nd St](https://images1.apartments.com/i2/Mlr3b_fO-cUiRd9MaUV9csuaP_kbwb9z5t06EHOtcuo/118/149-e-72nd-st-new-york-ny-building-photo.jpg) ,"Lovely One Bedroom right on 72nd & LEX!
**Call/Text GIANNA 610-316-9040 to see this apartment
**Amazing Location, Lovely One Bedroom!
**Queen Size Bedroom
**Large Living room with Decorative fireplace
Call/Text GIANNA 610-316-9040 to see this apartment!
*If this is not what your looking for, I can help! I have access to thousands of listings all over the city with means to find you what your looking for."
[711 2nd Ave Unit 2](https://www.apartments.com/711-2nd-ave-new-york-ny/6539m6s/),844-781-9376,"[711 2nd Ave, New York, NY 10016](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/711+2nd+Ave,+New+York,+NY+10016/data=!4m2!4m1!3e2)",600 Sq Ft,"$2,400",,,Dogs and Cats Allowed,1.3 mi,25 mins,,,,,,,12 Months,,,,,![Primary Photo - 711 2nd Ave](https://images1.apartments.com/i2/Vs3PMTHK6DYEf_i2bOG7f27pBst3VWibVnL8Zm3VY_A/110/711-2nd-ave-new-york-ny-primary-photo.jpg) ![Building Photo - 711 2nd Ave](https://images1.apartments.com/i2/50jUk2c4HyKfJwqoALzqN0aWMQgK32x2reFiBkDs0mY/118/711-2nd-ave-new-york-ny-building-photo.jpg) ![Building Photo - 711 2nd Ave](https://images1.apartments.com/i2/yKOemexaxIg0fhmHunCyovnp_RpRBDkVgisacNeKpE0/118/711-2nd-ave-new-york-ny-building-photo.jpg) ![Building Photo - 711 2nd Ave](https://images1.apartments.com/i2/aO7UDKJEymW7s6BYflGRTwJepaX-uLMGTQIEasn2pbs/118/711-2nd-ave-new-york-ny-building-photo.jpg) ,"One bedroom apartment in Murray Hill. Newly renovated kitchen featuring white cabinets, granite counter tops and stainless still appliances. Brand new wood floors throughout, with three closets for ample storage space. Ceramic tiled bathroom. Bathroom includes subway tiles additional linen closet. Contact Yazmin (347)863-9424"
[355 E 72nd St Unit 3B](https://www.apartments.com/355-e-72nd-st-new-york-ny/wzwtvwk/),,"[355 E 72nd St, New York, NY 10021](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/355+E+72nd+St,+New+York,+NY+10021/data=!4m2!4m1!3e2)",675 Sq Ft,"$2,450",,,Dogs and Cats Allowed,1.0 mi,20 mins,,,,,,,12 Months,* Laundry Facilities,,,,![Primary Photo - 355 E 72nd St](https://images1.apartments.com/i2/oqcYgWnHDceg7Jf-428dhulW552XMg6XW_9fX_UDKrY/110/355-e-72nd-st-new-york-ny-primary-photo.jpg) ![Building Photo - 355 E 72nd St](https://images1.apartments.com/i2/jvvB1Xe7jxrw_B_ir8SN9xwiO3HYV2Sr_oZ3xfnT5fg/118/355-e-72nd-st-new-york-ny-building-photo.jpg) ![Building Photo - 355 E 72nd St](https://images1.apartments.com/i2/5H1NYnR6Teu4jHfntVUH8g8Tatu5vJ6P-JBziptGQaY/118/355-e-72nd-st-new-york-ny-building-photo.jpg) ,
[333 E 49th St Unit 1R](https://www.apartments.com/333-e-49th-st-new-york-ny/hjg88w3/),844-234-9726,"[333 E 49th St, New York, NY 10017](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/333+E+49th+St,+New+York,+NY+10017/data=!4m2!4m1!3e2)",782 Sq Ft,"$2,450",,,Dogs and Cats Allowed,0.8 mi,16 mins,,,,,,,12 Months,* Laundry Facilities,,,,![Primary Photo - 333 E 49th St](https://images1.apartments.com/i2/i1xoa7uMVZbK7jYhB6EsALz-qDSzp-x1W9SYomdXGF4/110/333-e-49th-st-new-york-ny-primary-photo.jpg) ![Building Photo - 333 E 49th St](https://images1.apartments.com/i2/MfK_s913Xiia8UFZXG-k_eXb3zd8e63uvH-ScNWrrhU/118/333-e-49th-st-new-york-ny-building-photo.jpg) ![Building Photo - 333 E 49th St](https://images1.apartments.com/i2/8-iDDvjV7zR1kGQuam8xVE-g-JeUN7mUR2kMJSWnd_Y/118/333-e-49th-st-new-york-ny-building-photo.jpg) ![Building Photo - 333 E 49th St](https://images1.apartments.com/i2/PetEniFEk1TQJRK3_10SzU-axlQOi14m4AziDuriop8/118/333-e-49th-st-new-york-ny-building-photo.jpg) ,"MASSIVE 1-BEDROOM APARTMENT IN LUXURY MIDTOWN EAST! OVER 780 SQUARE FEET!
Super-convenient Midtown East location!
Luxury post-war doorman building with a full time concierge, viewing atrium garden, a complementary fitness center, laundry room, Housekeeping service available, high speed internet access, pet- friendly, bike room, common storage space, full service garage and a beautiful rooftop sun deck!!!
*NO BROKER's FEE + 1 MONTH FREE RENT!!!!"
[223 E 32nd St Unit 2C](https://www.apartments.com/223-e-32nd-st-new-york-ny/p3sk85s/),888-686-1946,"[223 E 32nd St, New York, NY 10016](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/223+E+32nd+St,+New+York,+NY+10016/data=!4m2!4m1!3e2)",650 Sq Ft,"$2,450",,,Dogs and Cats Allowed,1.5 mi,30 mins,,,,,,,12 Months,,,,,![Primary Photo - 223 E 32nd St](https://images1.apartments.com/i2/uwnpk5Gfy6l4SgH1ZvBsUt8-g3OyuESmRJYYvHQI9gs/110/223-e-32nd-st-new-york-ny-primary-photo.jpg) ![Building Photo - 223 E 32nd St](https://images1.apartments.com/i2/HdDY-K1xhqB_drxGrdvzTSP6Kib9zH-0CoPCbzNo9wc/118/223-e-32nd-st-new-york-ny-building-photo.jpg) ![Building Photo - 223 E 32nd St](https://images1.apartments.com/i2/q13-Wm0bk8tFsDAS7YaiQKETiFkmBcj__X3M4sFZIbA/118/223-e-32nd-st-new-york-ny-building-photo.jpg) ![Building Photo - 223 E 32nd St](https://images1.apartments.com/i2/lUK8dVfxMv59Bn7Bi4lozw2w8ia_VyICZEEirSgIaQI/118/223-e-32nd-st-new-york-ny-building-photo.jpg) ![Building Photo - 223 E 32nd St](https://images1.apartments.com/i2/M3QsqcQCXpaQkv4VR1ch13AhXpVU5rUNkZDJ8jd5Pz8/118/223-e-32nd-st-new-york-ny-building-photo.jpg) ![Building Photo - 223 E 32nd St](https://images1.apartments.com/i2/XJVWL8eUhlna7LSCMC4UHAjVbDSQFiVd6WnhaSeuY5A/118/223-e-32nd-st-new-york-ny-building-photo.jpg) ![Building Photo - 223 E 32nd St](https://images1.apartments.com/i2/QwUp87u9ZS3rovfvj53r-veSv3LHG1LDZrRwyRZuwHE/118/223-e-32nd-st-new-york-ny-building-photo.jpg) ,"Amenities:
Dishwasher, Hardwood, High Ceilings, Renovated, Marble Bath, Granite Kitchen, Light, Walk-In Closet
Description:
MURRAY HILL STEAL! 2BR WING- AMAZING LOCATION !!! half block from new TRADER JOES
Beautiful 2BR in the Murray Hill This is a fantastic location for this apt. 32nd street and third avenue. large apt. CLEAN and DOWNTOWN !!! Definitely will rent fast !! CALL ASAP !!! + I HAVE ACCESS TO EVERY AVAILABLE LISTING INCLUDING EXCLUSIVE LISTINGS AT BOND NEW YORK PROPERTIES + IF THIS APARTMENT IS NOT WHAT YOU ARE LOOKING FOR, I HAVE THE MEANS TO FIND YOU THE RIGHT PLACE + E-MAIL, TEXT, OR CALL AT ANY TIME+ **"
[324 E 61st St](https://www.apartments.com/324-e-61st-st-new-york-ny/fqb3wvr/),,"[324 E 61st St, New York, NY 10065](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/324+E+61st+St,+New+York,+NY+10065/data=!4m2!4m1!3e2)",600 Sq Ft,"$2,459",,,Dogs and Cats Allowed,0.4 mi,8 mins,,,,,,,12 Months,,,,,![Primary Photo - 324 E 61st St](https://images1.apartments.com/i2/l-P9KvKGAEuusZlljAq-GLTWYita1RQKKsKDavifHE0/110/324-e-61st-st-new-york-ny-primary-photo.jpg) ![Building Photo - 324 E 61st St](https://images1.apartments.com/i2/h724UindwSJagBbEeUQ3aeIWzyOO8r7qVMfj8BzzvGI/118/324-e-61st-st-new-york-ny-building-photo.jpg) ![Building Photo - 324 E 61st St](https://images1.apartments.com/i2/5gWdbk6IhdMc9hBtXdLrRbP8qt3L7hhBPEZRUdixmME/118/324-e-61st-st-new-york-ny-building-photo.jpg) ![Building Photo - 324 E 61st St](https://images1.apartments.com/i2/n2kEcL8Bk3-88-QZLmW-LTlW-rbbWr8FKn8yO95wjUo/118/324-e-61st-st-new-york-ny-building-photo.jpg) ![Building Photo - 324 E 61st St](https://images1.apartments.com/i2/sbwcJF13VHPExu-boybrWErjlYvRN1odQ43pMzkbvEQ/118/324-e-61st-st-new-york-ny-building-photo.jpg) ,"~Beautiful & Renovated 1BR~on the UES, SS kitchen, dishwasher, white tile bath, beautiful floors throughout, walk-in closets. 
*Near park, easy access to public transportation. 
*Call or text me today to schedule a private viewing: Olga 631-605-1477 okrey@bondnewyork.com
If this apartment doesn’t fit your need I certainly have the one that will."
[336 E 61st St Unit 5B](https://www.apartments.com/336-e-61st-st-new-york-ny/s9v3zr6/),844-814-0605,"[336 E 61st St, New York, NY 10065](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/336+E+61st+St,+New+York,+NY+10065/data=!4m2!4m1!3e2)",650 Sq Ft,"$2,475",,,Dogs and Cats Allowed,0.4 mi,9 mins,,,,,* Washer/Dryer,,12 Months,,,,,![Primary Photo - 336 E 61st St](https://images1.apartments.com/i2/Z-CfcSfBarVTc3TAGyZ70pNnBLERdRbgqYQBT7yD4eQ/110/336-e-61st-st-new-york-ny-primary-photo.jpg) ![Building Photo - 336 E 61st St](https://images1.apartments.com/i2/TBD37UJg_WKTHFZg7i5T15LqhMG2RBI8UYKWG0Z3RL0/118/336-e-61st-st-new-york-ny-building-photo.jpg) ![Building Photo - 336 E 61st St](https://images1.apartments.com/i2/fYzZQwHtT8TXENl5_3JQBIasu6Nv9Azd7ECB9otGQlw/118/336-e-61st-st-new-york-ny-building-photo.jpg) ![Building Photo - 336 E 61st St](https://images1.apartments.com/i2/74SngmplBtpkEGIg_W2A9YkxTtvPR0wis2BKIAUnCt0/118/336-e-61st-st-new-york-ny-building-photo.jpg) ,"NO FEE !!!! Beautiful 1 Bedroom apartment in charming walk up building between 1st and 2nd Ave in the heart of Midtown East. The building has a laundry room and a live in super. This building is close to the 4, 5, and 6 Subway station.
This apartment features: bleached plank hard wood floors, recessed lighting, granite countertops, stainless steel appliances, cherry wood cabinetry, crown and baseboard molding, marble bathrooms exposed brick walls. Pet policy: Pets OK"
