Option Name,URL,Contact,Address,Distance,Duration,Map,Pet Policy,Parking,Gym,Kitchen,Amenities,Features,Living Space,Rent,Monthly Fees,One Time Fees,Lease Info,Services,Property Info,Indoor Info,Outdoor Info
19-19 21st Rd Unit 1,https://www.apartments.com/19-19-21st-rd-queens-ny/el9penm/,844-827-2303,"19-19 21st Rd, Queens, NY 11105","* morning: 5.0 mi
* evening: 4.8 mi","* morning: 35 mins
* evening: 32 mins","https://www.google.com/maps/place/19-19+21st+Rd,+Queens,+NY+11105",Dogs and Cats Allowed,Surface Lot: $150,,,,,,"$1,600",,,12 Months,,,,
NSJ Properties,https://www.apartments.com/nsj-properties-jersey-city-nj/7y28h0z/,,"76-78 Palisade Ave, Jersey City, NJ 07306","* morning: 8.7 mi
* evening: 9.1 mi","* morning: 1 hour 2 mins
* evening: 57 mins","https://www.google.com/maps/place/76-78+Palisade+Ave,+Jersey+City,+NJ+07306","Dogs Allowed:
Breed restrictions apply 
* $500 Fee
* 40 lb Weight Limit","Covered
1 space; Assigned Parking. Call for rates",,"* Dishwasher
* Ice Maker
* Granite Countertops
* Stainless Steel Appliances
* Eat-in Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer",,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Tub/Shower
* Intercom
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Tile Floors
* Dining Room
* Views
* Walk-In Closets
* Linen Closet
* Loft Layout","$1,650 - 1,850","* Water, Trash Removal, Sewer: Included","* Application Fee: $75
* Cat Fee: $500
* Dog Fee: $500",12,"* Controlled Access
* 24 Hour Availability
* Recycling
* Energy Star Certified","* Built in 2014
* 15 Units/3 Stories",,
21-43 27th St Unit A1,https://www.apartments.com/21-43-27th-st-queens-ny/v9mvkde/,844-294-4668,"21-43 27th St, Queens, NY 11105","* morning: 4.6 mi
* evening: 4.5 mi","* morning: 28 mins
* evening: 26 mins","https://www.google.com/maps/place/21-43+27th+St,+Queens,+NY+11105",Dogs and Cats Allowed,,,,,,,"$1,675",,,12 Months,,,,
21-43 27th St Unit 3,https://www.apartments.com/21-43-27th-st-queens-ny/3e6jh4f/,844-887-6297,"21-43 27th St, Queens, NY 11105","* morning: 4.6 mi
* evening: 4.5 mi","* morning: 28 mins
* evening: 26 mins","https://www.google.com/maps/place/21-43+27th+St,+Queens,+NY+11105",Dogs and Cats Allowed,,,,,,,"$1,675",,,12 Months,,,,
21-43 27th St Unit 3,https://www.apartments.com/21-43-27th-st-queens-ny/x1h66mn/,516-727-4125,"21-43 27th St, Queens, NY 11105","* morning: 4.6 mi
* evening: 4.5 mi","* morning: 28 mins
* evening: 26 mins","https://www.google.com/maps/place/21-43+27th+St,+Queens,+NY+11105",Dogs and Cats Allowed,,,,,,,"$1,675",,,12 Months,,,,
21-43 27th St Unit 3,https://www.apartments.com/21-43-27th-st-queens-ny/852hzt2/,844-821-9474,"21-43 27th St, Queens, NY 11105","* morning: 4.6 mi
* evening: 4.5 mi","* morning: 28 mins
* evening: 26 mins","https://www.google.com/maps/place/21-43+27th+St,+Queens,+NY+11105",Dogs and Cats Allowed,,,,,,,"$1,675",,,12 Months,,,,
68 Green St Unit 1G,https://www.apartments.com/68-green-st-brooklyn-ny/j08cq05/,844-881-2730,"68 Green St, Brooklyn, NY 11222","* morning: 3.2 mi
* evening: 3.8 mi","* morning: 42 mins
* evening: 34 mins","https://www.google.com/maps/place/68+Green+St,+Brooklyn,+NY+11222",Dogs and Cats Allowed,,,,,,,"$1,675",,,12 Months,,,,
21-43 27th St Unit 2,https://www.apartments.com/21-43-27th-st-queens-ny/yvt3rks/,929-200-4709,"21-43 27th St, Queens, NY 11105","* morning: 4.6 mi
* evening: 4.5 mi","* morning: 28 mins
* evening: 26 mins","https://www.google.com/maps/place/21-43+27th+St,+Queens,+NY+11105",Dogs and Cats Allowed,,,,,,,"$1,675",,,12 Months,,,,
35-09 31st Ave Unit 4,https://www.apartments.com/35-09-31st-ave-queens-ny/ejc9xsn/,844-201-5639,"35-09 31st Ave, Queens, NY 11106","* morning: 3.5 mi
* evening: 3.4 mi","* morning: 26 mins
* evening: 23 mins","https://www.google.com/maps/place/35-09+31st+Ave,+Queens,+NY+11106",Dogs and Cats Allowed,,,,,,,"$1,692",,,12 Months,,,,
30-64 45th St Unit 3,https://www.apartments.com/30-64-45th-st-queens-ny/vdsvc4g/,845-414-3103,"30-64 45th St, Queens, NY 11103","* morning: 4.2 mi
* evening: 3.7 mi","* morning: 28 mins
* evening: 23 mins","https://www.google.com/maps/place/30-64+45th+St,+Queens,+NY+11103",Dogs and Cats Allowed,,,,,,,"$1,700",,,12 Months,,,,
21-31 27th St Unit c3,https://www.apartments.com/21-31-27th-st-queens-ny/gvjeljx/,347-815-2043,"21-31 27th St, Queens, NY 11105","* morning: 4.7 mi
* evening: 4.5 mi","* morning: 29 mins
* evening: 27 mins","https://www.google.com/maps/place/21-31+27th+St,+Queens,+NY+11105",Dogs and Cats Allowed,,,,,,,"$1,700",,,12 Months,,,,
21-42 27th St Unit 1,https://www.apartments.com/21-42-27th-st-queens-ny/jjmc2q5/,844-721-0272,"21-42 27th St, Queens, NY 11105","* morning: 4.6 mi
* evening: 4.5 mi","* morning: 28 mins
* evening: 27 mins","https://www.google.com/maps/place/21-42+27th+St,+Queens,+NY+11105",Dogs and Cats Allowed,,,,,,,"$1,700",,,12 Months,,,,
21-43 27th St Unit 1,https://www.apartments.com/21-43-27th-st-queens-ny/zyxxsky/,844-591-9088,"21-43 27th St, Queens, NY 11105","* morning: 4.6 mi
* evening: 4.5 mi","* morning: 28 mins
* evening: 26 mins","https://www.google.com/maps/place/21-43+27th+St,+Queens,+NY+11105",Dogs and Cats Allowed,,,,,,,"$1,700",,,12 Months,,,,
21-43 27th St Unit 3,https://www.apartments.com/21-43-27th-st-queens-ny/x380dmp/,844-399-7488,"21-43 27th St, Queens, NY 11105","* morning: 4.6 mi
* evening: 4.5 mi","* morning: 28 mins
* evening: 26 mins","https://www.google.com/maps/place/21-43+27th+St,+Queens,+NY+11105",Dogs and Cats Allowed,,,,,,,"$1,700",,,12 Months,,,,
21-43 27th St Unit 3,https://www.apartments.com/21-43-27th-st-queens-ny/vgbskng/,917-341-7746,"21-43 27th St, Queens, NY 11105","* morning: 4.6 mi
* evening: 4.5 mi","* morning: 28 mins
* evening: 26 mins","https://www.google.com/maps/place/21-43+27th+St,+Queens,+NY+11105",Dogs and Cats Allowed,,,,,,,"$1,725",,,12 Months,,,,
21-35 27th St Unit c1,https://www.apartments.com/21-35-27th-st-queens-ny/ppmbsxs/,347-441-0927,"21-35 27th St, Queens, NY 11105","* morning: 4.6 mi
* evening: 4.5 mi","* morning: 28 mins
* evening: 27 mins","https://www.google.com/maps/place/21-35+27th+St,+Queens,+NY+11105",Dogs and Cats Allowed,,,,,,,"$1,725",,,12 Months,,,,
21-19 27th St Unit 4,https://www.apartments.com/21-19-27th-st-queens-ny/w2xx99j/,855-352-7944,"21-19 27th St, Queens, NY 11105","* morning: 4.7 mi
* evening: 4.6 mi","* morning: 29 mins
* evening: 27 mins","https://www.google.com/maps/place/21-19+27th+St,+Queens,+NY+11105",Dogs and Cats Allowed,,,,,,,"$1,750",,,12 Months,,,,
41-17 47th St Unit 1O,https://www.apartments.com/41-17-47th-st-queens-ny/smm2rd6/,844-781-9207,"41-17 47th St, Queens, NY 11104","* morning: 3.3 mi
* evening: 3.4 mi","* morning: 21 mins
* evening: 27 mins","https://www.google.com/maps/place/41-17+47th+St,+Queens,+NY+11104",Dogs and Cats Allowed,,,,,,,"$1,750",,,12 Months,* Laundry Facilities,,,
21-38 31st St,https://www.apartments.com/21-38-31st-st-queens-ny/dswhp4l/,844-361-9646,"21-38 31st St, Queens, NY 11105","* morning: 4.5 mi
* evening: 4.4 mi","* morning: 25 mins
* evening: 23 mins","https://www.google.com/maps/place/21-38+31st+St,+Queens,+NY+11105",Dogs and Cats Allowed,,,,,,,"$1,750",,,12 Months,,,,
31-23 68th St,https://www.apartments.com/31-23-68th-st-queens-ny/1fp27q4/,914-412-3193,"31-23 68th St, Queens, NY 11377","* morning: 5.0 mi
* evening: 4.5 mi","* morning: 33 mins
* evening: 31 mins","https://www.google.com/maps/place/31-23+68th+St,+Queens,+NY+11377",Dogs and Cats Allowed,Garage: $195,,,,* Wheelchair Accessible (Rooms),,"$1,775",,,12 Months,* Laundry Facilities,,,
1004 Bloomfield St Unit A,https://www.apartments.com/1004-bloomfield-st-hoboken-nj/34jglrf/,201-580-2343,"1004 Bloomfield St, Hoboken, NJ 07030","* morning: 6.6 mi
* evening: 5.5 mi","* morning: 55 mins
* evening: 51 mins","https://www.google.com/maps/place/1004+Bloomfield+St,+Hoboken,+NJ+07030",Dogs and Cats Allowed,,,,,,,"$1,795",,,12 Months,,,,
31-18 35th St,https://www.apartments.com/31-18-35th-st-queens-ny/nshyk1p/,844-264-0004,"31-18 35th St, Queens, NY 11106","* morning: 3.5 mi
* evening: 3.4 mi","* morning: 24 mins
* evening: 21 mins","https://www.google.com/maps/place/31-18+35th+St,+Queens,+NY+11106",Dogs and Cats Allowed,,,,,,,"$1,799",,,12 Months,,,,
2906 24th Ave,https://www.apartments.com/2906-24th-ave-astoria-ny/97ty175/,,"2906 24th Ave, Astoria, NY 11102","* morning: 4.1 mi
* evening: 3.9 mi","* morning: 25 mins
* evening: 21 mins","https://www.google.com/maps/place/2906+24th+Ave,+Astoria,+NY+11102",Dogs and Cats Allowed,,,,,,,"$1,800",,,,,,,
1427 York Ave Unit 2G,https://www.apartments.com/1427-york-ave-new-york-ny/nl3gpym/,917-818-0596,"1427 York Ave, New York, NY 10021","* morning: 1.5 mi
* evening: 1.5 mi","* morning: 15 mins
* evening: 16 mins","https://www.google.com/maps/place/1427+York+Ave,+New+York,+NY+10021",Dogs Allowed,,,,,,,"$1,800",,,12 Months,* Laundry Facilities,,,
41-17 47th St Unit 2I,https://www.apartments.com/41-17-47th-st-queens-ny/e6yptlq/,844-826-3080,"41-17 47th St, Queens, NY 11104","* morning: 3.3 mi
* evening: 3.4 mi","* morning: 21 mins
* evening: 27 mins","https://www.google.com/maps/place/41-17+47th+St,+Queens,+NY+11104",Dogs and Cats Allowed,,,,,,,"$1,800",,,12 Months,* Laundry Facilities,,,
30-52 34th St,https://www.apartments.com/30-52-34th-st-queens-ny/m74lcql/,855-531-6786,"30-52 34th St, Queens, NY 11103","* morning: 3.8 mi
* evening: 3.7 mi","* morning: 23 mins
* evening: 20 mins","https://www.google.com/maps/place/30-52+34th+St,+Queens,+NY+11103",Dogs and Cats Allowed,,,,,,,"$1,800",,,12 Month,,,,
30-52 34th St Unit 4,https://www.apartments.com/30-52-34th-st-queens-ny/cjqs8xf/,844-398-4257,"30-52 34th St, Queens, NY 11103","* morning: 3.8 mi
* evening: 3.7 mi","* morning: 23 mins
* evening: 20 mins","https://www.google.com/maps/place/30-52+34th+St,+Queens,+NY+11103",Dogs and Cats Allowed,,,,,,,"$1,800",,,12 Months,,,,
407 56th St,https://www.apartments.com/407-56th-st-west-new-york-nj/hwrwv20/,,"407 56th St, West New York, NJ 07093","* morning: 6.9 mi
* evening: 6.7 mi","* morning: 45 mins
* evening: 48 mins","https://www.google.com/maps/place/407+56th+St,+West+New+York,+NJ+07093",Dogs and Cats Allowed,,,,,,,"$1,800",,,,,,,
3989 51st St,https://www.apartments.com/3989-51st-st-queens-ny/9mhtq07/,516-665-1593,"3989 51st St, Queens, NY 11377","* morning: 3.7 mi
* evening: 3.7 mi","* morning: 26 mins
* evening: 28 mins","https://www.google.com/maps/place/3989+51st+St,+Queens,+NY+11377",Dogs and Cats Allowed,,,,,,,"$1,825",,,12 Months,,,,
211 27th St,https://www.apartments.com/211-27th-st-brooklyn-ny/lk4hhvf/,862-238-5613,"211 27th St, Brooklyn, NY 11232","* morning: 10.6 mi
* evening: 9.9 mi","* morning: 51 mins
* evening: 47 mins","https://www.google.com/maps/place/211+27th+St,+Brooklyn,+NY+11232",Dogs and Cats Allowed,,,,,* Washer/Dryer,,"$1,825",,,12 Months,,,,
1742 1st Avenue,https://www.apartments.com/1742-1st-avenue-new-york-ny/md5s7el/,862-227-1472,"1742 1st Avenue, New York, NY 10128","* morning: 2.0 mi
* evening: 1.9 mi","* morning: 17 mins
* evening: 15 mins","https://www.google.com/maps/place/1742+1st+Avenue,+New+York,+NY+10128",Dogs and Cats Allowed,,,,,,,"$1,850",,,12 Months,* Laundry Facilities,,,
3122 68th St,https://www.apartments.com/3122-68th-st-woodside-ny/3lr647g/,,"3122 68th St, Woodside, NY 11377","* morning: 5.0 mi
* evening: 4.5 mi","* morning: 33 mins
* evening: 31 mins","https://www.google.com/maps/place/3122+68th+St,+Woodside,+NY+11377",Dogs and Cats Allowed,,,,,,,"$1,850",,,,,,,
43-41 45th St Unit A41,https://www.apartments.com/43-41-45th-st-queens-ny/4gr5lcj/,844-827-8176,"43-41 45th St, Queens, NY 11104","* morning: 3.1 mi
* evening: 3.3 mi","* morning: 18 mins
* evening: 24 mins","https://www.google.com/maps/place/43-41+45th+St,+Queens,+NY+11104",Dogs and Cats Allowed,,,,,,,"$1,850",,,12 Months,,,,
345 1st St,https://www.apartments.com/345-1st-st-jersey-city-nj/19y6jv4/,,"345 1st St, Jersey City, NJ 07302","* morning: 6.9 mi
* evening: 6.7 mi","* morning: 50 mins
* evening: 44 mins","https://www.google.com/maps/place/345+1st+St,+Jersey+City,+NJ+07302",Dogs and Cats Allowed,,,,,,,"$1,850",,,,,,,
36-27 30th St Unit 1R,https://www.apartments.com/36-27-30th-st-queens-ny/35jg4pf/,516-447-0221,"36-27 30th St, Queens, NY 11106","* morning: 2.8 mi
* evening: 2.7 mi","* morning: 18 mins
* evening: 16 mins","https://www.google.com/maps/place/36-27+30th+St,+Queens,+NY+11106",Dogs and Cats Allowed,Street,,,,,,"$1,850",,,12 Months,* Laundry Facilities,,,
38-03 23rd Ave Unit 1,https://www.apartments.com/38-03-23rd-ave-queens-ny/2j6d5r9/,844-617-9654,"38-03 23rd Ave, Queens, NY 11105","* morning: 4.7 mi
* evening: 4.5 mi","* morning: 26 mins
* evening: 27 mins","https://www.google.com/maps/place/38-03+23rd+Ave,+Queens,+NY+11105",Dogs and Cats Allowed,Garage,,,,,,"$1,850",,,12 Months,,,,
74-12 35th Ave,https://www.apartments.com/74-12-35th-ave-queens-ny/wwgbc1l/,844-476-1204,"74-12 35th Ave, Queens, NY 11372","* morning: 4.9 mi
* evening: 5.2 mi","* morning: 21 mins
* evening: 27 mins","https://www.google.com/maps/place/74-12+35th+Ave,+Queens,+NY+11372",Dogs and Cats Allowed,,,,,,,"$1,850",,,12 Months,* Laundry Facilities,,,
74-10 35th Ave Unit 408E,https://www.apartments.com/74-10-35th-ave-queens-ny/8w5qzq3/,844-505-7163,"74-10 35th Ave, Queens, NY 11372","* morning: 5.0 mi
* evening: 5.2 mi","* morning: 22 mins
* evening: 27 mins","https://www.google.com/maps/place/74-10+35th+Ave,+Queens,+NY+11372",Dogs and Cats Allowed,,,,,,,"$1,850",,,12 Months,* Laundry Facilities,,,
192 27th St Unit 2F,https://www.apartments.com/192-27th-st-brooklyn-ny/yx1l4gs/,516-362-2057,"192 27th St, Brooklyn, NY 11232","* morning: 10.6 mi
* evening: 9.8 mi","* morning: 50 mins
* evening: 46 mins","https://www.google.com/maps/place/192+27th+St,+Brooklyn,+NY+11232",Dogs and Cats Allowed,,,,,,,"$1,850",,,12 Months,* Laundry Facilities,,,
221 Washington St Unit 303,https://www.apartments.com/221-washington-st-hoboken-nj/hp66tg3/,973-459-4810,"221 Washington St, Hoboken, NJ 07030","* morning: 5.9 mi
* evening: 7.9 mi","* morning: 41 mins
* evening: 46 mins","https://www.google.com/maps/place/221+Washington+St,+Hoboken,+NJ+07030",Dogs and Cats Allowed,,,,,,,"$1,875",,,12 Months,,,,
46-01 Skillman Ave Unit 23,https://www.apartments.com/46-01-skillman-ave-queens-ny/812mk01/,844-409-9526,"46-01 Skillman Ave, Queens, NY 11104","* morning: 3.3 mi
* evening: 3.5 mi","* morning: 21 mins
* evening: 28 mins","https://www.google.com/maps/place/46-01+Skillman+Ave,+Queens,+NY+11104",Dogs and Cats Allowed,Street,,,,,,"$1,875",,,12 Months,,,,
32-15 68th St Unit 4,https://www.apartments.com/32-15-68th-st-queens-ny/y8khllt/,844-435-0210,"32-15 68th St, Queens, NY 11377","* morning: 4.9 mi
* evening: 4.4 mi","* morning: 32 mins
* evening: 31 mins","https://www.google.com/maps/place/32-15+68th+St,+Queens,+NY+11377",Dogs and Cats Allowed,,,,,,,"$1,875",,,12 Months,* Laundry Facilities,,,
3114 68th St,https://www.apartments.com/3114-68th-st-queens-ny/5xt34zp/,870-551-3503,"3114 68th St, Queens, NY 11377","* morning: 5.0 mi
* evening: 4.5 mi","* morning: 33 mins
* evening: 31 mins","https://www.google.com/maps/place/3114+68th+St,+Queens,+NY+11377",Dogs and Cats Allowed,,,,,,,"$1,875",,,12 Months,,,,
722 Willow Ave Unit 2,https://www.apartments.com/722-willow-ave-hoboken-nj/lzgnvnd/,973-685-6079,"722 Willow Ave, Hoboken, NJ 07030","* morning: 6.5 mi
* evening: 6.0 mi","* morning: 52 mins
* evening: 57 mins","https://www.google.com/maps/place/722+Willow+Ave,+Hoboken,+NJ+07030",Dogs and Cats Allowed,,,,,,,"$1,875",,,12 Months,,,,
30-44 32nd St Unit 1fl,https://www.apartments.com/30-44-32nd-st-queens-ny/23qxb5c/,347-395-1426,"30-44 32nd St, Queens, NY 11102","* morning: 3.7 mi
* evening: 3.6 mi","* morning: 21 mins
* evening: 18 mins","https://www.google.com/maps/place/30-44+32nd+St,+Queens,+NY+11102",Dogs and Cats Allowed,,,,,,,"$1,875",,,12 Months,,,,
30-52 34th St Unit 4,https://www.apartments.com/30-52-34th-st-queens-ny/b9s62y8/,929-200-4705,"30-52 34th St, Queens, NY 11103","* morning: 3.8 mi
* evening: 3.7 mi","* morning: 23 mins
* evening: 20 mins","https://www.google.com/maps/place/30-52+34th+St,+Queens,+NY+11103",Dogs and Cats Allowed,,,,,,,"$1,900",,,12 Months,,,,
30-52 34th St Unit 4,https://www.apartments.com/30-52-34th-st-queens-ny/dcw0j6j/,929-282-1556,"30-52 34th St, Queens, NY 11103","* morning: 3.8 mi
* evening: 3.7 mi","* morning: 23 mins
* evening: 20 mins","https://www.google.com/maps/place/30-52+34th+St,+Queens,+NY+11103",Dogs and Cats Allowed,,,,,,,"$1,900",,,12 Months,,,,
31-17 68th St Unit 6C,https://www.apartments.com/31-17-68th-st-queens-ny/1qzter7/,844-888-6740,"31-17 68th St, Queens, NY 11377","* morning: 5.0 mi
* evening: 4.5 mi","* morning: 34 mins
* evening: 31 mins","https://www.google.com/maps/place/31-17+68th+St,+Queens,+NY+11377",Dogs and Cats Allowed,Covered: $195,,,,* Wheelchair Accessible (Rooms),,"$1,900",,,12 Months,* Laundry Facilities,,,
31-17 68th St,https://www.apartments.com/31-17-68th-st-queens-ny/ggymxwz/,844-891-9302,"31-17 68th St, Queens, NY 11377","* morning: 5.0 mi
* evening: 4.5 mi","* morning: 34 mins
* evening: 31 mins","https://www.google.com/maps/place/31-17+68th+St,+Queens,+NY+11377",Dogs and Cats Allowed,Covered: $195,,,,* Wheelchair Accessible (Rooms),,"$1,900",,,12 Months,* Laundry Facilities,,,
35-15 75th St Unit 5fl,https://www.apartments.com/35-15-75th-st-queens-ny/k65m789/,844-803-5943,"35-15 75th St, Queens, NY 11372","* morning: 4.9 mi
* evening: 5.1 mi","* morning: 21 mins
* evening: 26 mins","https://www.google.com/maps/place/35-15+75th+St,+Queens,+NY+11372",Dogs and Cats Allowed,Street,,,,,,"$1,900",,,12 Months,* Laundry Facilities,,,
31-33 69th St,https://www.apartments.com/31-33-69th-st-queens-ny/gt56p9y/,914-315-7645,"31-33 69th St, Queens, NY 11377","* morning: 5.5 mi
* evening: 5.0 mi","* morning: 34 mins
* evening: 32 mins","https://www.google.com/maps/place/31-33+69th+St,+Queens,+NY+11377",Dogs and Cats Allowed,Covered: $199,,,,* Wheelchair Accessible (Rooms),,"$1,900",,,12 Months,* Laundry Facilities,,,
199 Warren St Unit 1C,https://www.apartments.com/199-warren-st-jersey-city-nj/jhnb795/,201-620-2419,"199 Warren St, Jersey City, NJ 07302","* morning: 6.4 mi
* evening: 6.4 mi","* morning: 49 mins
* evening: 42 mins","https://www.google.com/maps/place/199+Warren+St,+Jersey+City,+NJ+07302",Dogs and Cats Allowed,Street,,,,,,"$1,900",,,12 Months,* Laundry Facilities,,,
384 Monmouth St Unit 4L,https://www.apartments.com/384-monmouth-st-jersey-city-nj/shm27g5/,201-492-6887,"384 Monmouth St, Jersey City, NJ 07302","* morning: 6.8 mi
* evening: 6.7 mi","* morning: 50 mins
* evening: 44 mins","https://www.google.com/maps/place/384+Monmouth+St,+Jersey+City,+NJ+07302",Dogs and Cats Allowed,,,,,* Washer/Dryer Hookup,,"$1,900",,,12 Months,,,,
642 4th Ave,https://www.apartments.com/642-4th-ave-brooklyn-ny/1xwyhs6/,844-424-1216,"642 4th Ave, Brooklyn, NY 11232","* morning: 9.2 mi
* evening: 9.9 mi","* morning: 46 mins
* evening: 52 mins","https://www.google.com/maps/place/642+4th+Ave,+Brooklyn,+NY+11232",Dogs and Cats Allowed,,,,,,,"$1,900",,,12 Months,,,,
35-15 Leverich St Unit 601,https://www.apartments.com/35-15-leverich-st-queens-ny/whw1j7k/,844-816-1072,"35-15 Leverich St, Queens, NY 11372","* morning: 5.0 mi
* evening: 4.7 mi","* morning: 22 mins
* evening: 24 mins","https://www.google.com/maps/place/35-15+Leverich+St,+Queens,+NY+11372",Dogs and Cats Allowed,Garage,,,,,,"$1,900",,,12 Months,* Laundry Facilities,,,
37-09 75th St Unit 4P,https://www.apartments.com/37-09-75th-st-queens-ny/nfqspmn/,917-397-4553,"37-09 75th St, Queens, NY 11372","* morning: 4.8 mi
* evening: 4.8 mi","* morning: 18 mins
* evening: 19 mins","https://www.google.com/maps/place/37-09+75th+St,+Queens,+NY+11372",Dogs and Cats Allowed,Covered,,,,,,"$1,900",,,12 Months,* Laundry Facilities,,,
43-23 40th St Unit 4,https://www.apartments.com/43-23-40th-st-queens-ny/r91m9f1/,844-828-5756,"43-23 40th St, Queens, NY 11104","* morning: 3.0 mi
* evening: 3.0 mi","* morning: 19 mins
* evening: 22 mins","https://www.google.com/maps/place/43-23+40th+St,+Queens,+NY+11104",Dogs and Cats Allowed,,,,,,,"$1,900",,,12 Months,,,,
